context: 25.5M params, 544 tokens, mix [('qa', 1.0)], 10000 steps × 64×256
step    100 loss 4.0886 gnorm 4.20 lr 1.98e-04 66,584 tok/s (2% trained)
step    200 loss 2.4334 gnorm 1.94 lr 3.98e-04 69,861 tok/s (2% trained)
step    300 loss 2.0470 gnorm 1.76 lr 5.98e-04 69,945 tok/s (2% trained)
step    400 loss 1.9868 gnorm 1.55 lr 7.98e-04 70,839 tok/s (2% trained)
step    500 loss 1.8926 gnorm 1.87 lr 9.98e-04 69,218 tok/s (2% trained)
step    600 loss 1.8582 gnorm 1.48 lr 1.00e-03 62,131 tok/s (2% trained)
step    700 loss 1.7507 gnorm 1.47 lr 9.99e-04 65,797 tok/s (2% trained)
step    800 loss 1.7274 gnorm 1.55 lr 9.98e-04 69,536 tok/s (2% trained)
step    900 loss 1.6714 gnorm 1.51 lr 9.96e-04 68,545 tok/s (2% trained)
step   1000 loss 1.6561 gnorm 1.33 lr 9.94e-04 67,549 tok/s (2% trained)
step   1100 loss 1.6281 gnorm 1.30 lr 9.91e-04 61,460 tok/s (2% trained)
step   1200 loss 1.6073 gnorm 1.24 lr 9.88e-04 56,467 tok/s (2% trained)
step   1300 loss 1.5837 gnorm 1.19 lr 9.84e-04 54,691 tok/s (2% trained)
step   1400 loss 1.5715 gnorm 1.07 lr 9.80e-04 56,812 tok/s (2% trained)
step   1500 loss 1.5388 gnorm 1.29 lr 9.76e-04 55,940 tok/s (2% trained)
step   1600 loss 1.5156 gnorm 1.23 lr 9.71e-04 58,583 tok/s (2% trained)
step   1700 loss 1.4764 gnorm 1.30 lr 9.65e-04 61,077 tok/s (2% trained)
step   1800 loss 1.4505 gnorm 1.14 lr 9.59e-04 59,885 tok/s (2% trained)
step   1900 loss 1.4208 gnorm 1.29 lr 9.53e-04 64,438 tok/s (2% trained)
step   2000 loss 1.4170 gnorm 1.20 lr 9.46e-04 65,286 tok/s (2% trained)
 test_1hop_ood: 1hop 12.0% (n=200) · all 12.0% (n=200)
       test_id: 2hop 32.0% (n=200) · 3hop 45.5% (n=200) · all 38.8% (n=400)
      test_ood: 2hop 33.5% (n=200) · 3hop 35.0% (n=200) · all 34.2% (n=400)
step   2100 loss 1.3775 gnorm 1.20 lr 9.39e-04 52,244 tok/s (2% trained)
step   2200 loss 1.3878 gnorm 1.25 lr 9.31e-04 62,239 tok/s (2% trained)
step   2300 loss 1.2847 gnorm 1.23 lr 9.23e-04 62,774 tok/s (2% trained)
step   2400 loss 1.3220 gnorm 1.79 lr 9.14e-04 62,436 tok/s (2% trained)
step   2500 loss 1.3222 gnorm 1.55 lr 9.05e-04 64,459 tok/s (2% trained)
step   2600 loss 1.2665 gnorm 1.23 lr 8.96e-04 60,116 tok/s (2% trained)
step   2700 loss 1.2809 gnorm 1.23 lr 8.86e-04 66,015 tok/s (2% trained)
step   2800 loss 1.2519 gnorm 1.35 lr 8.76e-04 67,604 tok/s (2% trained)
step   2900 loss 1.2305 gnorm 1.06 lr 8.66e-04 68,163 tok/s (2% trained)
step   3000 loss 1.2310 gnorm 1.69 lr 8.55e-04 67,909 tok/s (2% trained)
step   3100 loss 1.1983 gnorm 1.14 lr 8.44e-04 61,051 tok/s (2% trained)
step   3200 loss 1.2500 gnorm 1.12 lr 8.32e-04 67,855 tok/s (2% trained)
step   3300 loss 1.1996 gnorm 1.06 lr 8.21e-04 65,054 tok/s (2% trained)
step   3400 loss 1.2046 gnorm 1.00 lr 8.09e-04 59,692 tok/s (2% trained)
step   3500 loss 1.1749 gnorm 2.05 lr 7.96e-04 66,198 tok/s (2% trained)
step   3600 loss 1.1760 gnorm 1.21 lr 7.84e-04 66,701 tok/s (2% trained)
step   3700 loss 1.1662 gnorm 1.14 lr 7.71e-04 67,802 tok/s (2% trained)
step   3800 loss 1.1605 gnorm 1.05 lr 7.58e-04 69,248 tok/s (2% trained)
step   3900 loss 1.1567 gnorm 1.97 lr 7.44e-04 70,878 tok/s (2% trained)
